RefluxRatio,DestillateToFlow,FeedStage,XDESTBENZE,XDESTTOL,XDESTXYL,XBOTBENZE,XBOTTOL,XBOTXYL,CONDDUTY,REBDUTY
1.3397,0.16058,7,0.95641,0.043205,0.00038371,0.41269,0.34913,0.23819,-74136,1.2869e+05
2.206,0.5266,11,0.94774,0.052253,9.3612e-06,0.0019463,0.57559,0.42247,-3.3366e+05,3.9559e+05
4.3781,0.51769,20,0.89337,0.10663,7.3748e-08,0.077769,0.50756,0.41467,-5.5606e+05,6.1606e+05
3.1922,0.94854,6,0.52713,0.31627,0.1566,1.3351e-09,2.6305e-05,0.99997,-8.7117e+05,9.2622e+05
3.3839,0.29328,15,0.99993,6.6187e-05,3.1287e-10,0.29253,0.42447,0.283,-2.5129e+05,3.0787e+05
3.4788,0.076633,7,0.98994,0.010006,5.0057e-05,0.45934,0.32407,0.21659,-67235,1.2113e+05
1.128,0.66448,18,0.73219,0.26775,6.2626e-05,0.040165,0.36388,0.59596,-2.8981e+05,3.4964e+05
1.7289,0.77491,15,0.64497,0.3549,0.00012937,0.00092723,0.11099,0.88809,-4.383e+05,4.9894e+05
0.043509,0.60013,9,0.7814,0.17301,0.045591,0.077682,0.49058,0.43174,-1.2969e+05,1.8819e+05
4.5808,0.011128,11,0.99936,0.00064352,1.111e-07,0.49438,0.30337,0.20225,-12140,65519
2.1275,0.4617,17,0.99644,0.0035609,3.8208e-09,0.074207,0.55425,0.37154,-2.8243e+05,3.4316e+05
1.6191,0.77904,11,0.6418,0.35767,0.00053417,5.334e-05,0.09667,0.90328,-4.2314e+05,4.8381e+05
0.18846,0.18236,16,0.81163,0.15887,0.029501,0.4305,0.33148,0.23803,-44421,98504
2.3727,0.15967,8,0.99001,0.0099634,2.3472e-05,0.4069,0.35511,0.238,-1.0549e+05,1.6018e+05
3.0409,0.19791,16,0.99994,6.4409e-05,1.4718e-10,0.37664,0.37401,0.24935,-1.563e+05,2.1148e+05
1.2218,0.90908,7,0.55001,0.32999,0.12,1.6833e-08,0.00014312,0.99986,-4.3781e+05,4.943e+05
3.8298,0.19489,7,0.99307,0.0069029,2.9788e-05,0.38065,0.37095,0.24841,-1.8425e+05,2.3936e+05
0.46466,0.57469,15,0.82359,0.1708,0.0056134,0.062765,0.47458,0.46266,-1.7055e+05,2.3032e+05
2.7375,0.42721,14,0.99975,0.00024932,2.6672e-09,0.12726,0.52357,0.34917,-3.1208e+05,3.7174e+05
3.2416,0.67544,14,0.73975,0.26024,9.5739e-06,0.0010703,0.38274,0.61619,-5.8657e+05,6.4717e+05
4.7264,0.21476,16,0.99999,1.3331e-05,2.5654e-11,0.36326,0.38204,0.2547,-2.4035e+05,2.9575e+05
1.1888,0.12701,14,0.96976,0.030237,1.7609e-06,0.43166,0.33925,0.2291,-54692,1.0898e+05
